Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
Boli Razor RSCW-6008,Men's Grooming,53,nocode,,0,0,1000.0,,1,0,0,0,1,,,,,,
Kemei Nose/Beard/Eyebrows Hair Trimmer 2 in 1 km-199,Men's Grooming,54,6955549301993,,0,0,950.0,,1,0,0,0,1,,,,,,
Tea Rose 3 piece,Wrapped Chocolate,55,6971282340372,,0,0,220.0,,1,0,0,0,1,,,,,,
Tea Rose 5 piece,Wrapped Chocolate,56,6971282340051,,0,0,320.0,,1,0,0,0,1,,,,,,
Tee Rose 8 piece,Wrapped Chocolate,57,6971282340402,,0,0,590.0,,1,0,0,0,1,,,,,,
Tee Rose 12 piece,Wrapped Chocolate,58,6931078931252,,0,0,780.0,,1,0,0,0,1,,,,,,
meo-o cat food 450gm,Pet Food,59,couldnotscan,,0,0,830.0,,1,0,0,0,1,,,,,,
Shinon Hair Straightener 3 in 1 sh-8088,Hair Styling Tools,60,6924518200308,,0,0,1750.0,,1,0,0,0,1,,,,,,
BRAUN 2 in 1 Hair Straightener  ,Hair Styling Tools,61,8986325678334,,0,0,1050.0,,1,0,0,0,1,,,,,,
Kemei hair straightener km-531,Hair Styling Tools,62,6955549305311,,0,0,1350.0,,1,0,0,0,1,,,,,,
RIWA hair straightener rw-333,Hair Styling Tools,63,nocode,,0,0,1850.0,,1,0,0,0,1,,,,,,
Remington hair straightener s-v016,Hair Styling Tools,64,4008496545360,,0,0,1750.0,,1,0,0,0,1,,,,,,
DINGLING Electric Razor RF-607,Men's Grooming,65,6921965406079,,0,0,2800.0,,1,0,0,0,1,,,,,,
DINGLING Electric Razor RF-607c,Men's Grooming,66,6921965436076,,0,0,2800.0,,1,0,0,0,1,,,,,,
Finex HAIR CLIPPER FX-909,Men's Grooming,67,6927787909095,,0,0,2250.0,,1,0,0,0,1,,,,,,
Johnsons baby kit,Baby Care,68,8850007100133,,0,0,1200.0,,1,0,0,0,1,,,,,,
